id,cate,title,lead,time,tag
666851,Thời sự,"Dự báo thời tiết 17/8, miền Bắc hứng đợt mưa rất lớn","Những ngày tới, các tỉnh miền Bắc sẽ hứng đợt mưa to đến đặc biệt to. Trọng tâm của đợt mưa tập trung từ đêm 16 đến đêm 18/8.",17-08-2020,"['thời tiết ngày mai', 'dự báo thời tiết', 'thời tiết thủ đô', 'áp thấp nhiệt đới']"
666864,Thời sự,"Người bán xôi nhiễm Covid-19, Đà Nẵng phong tỏa khu chợ",Đà Nẵng phong tỏa chợ Tân An và xét nghiệm khoảng 300 người liên quan đến người phụ nữ bán xôi nhiễm Covid-19 từng 3 lần đến đây.,16-08-2020,"['Đà Nẵng', 'virus corona', 'dịch Covid-19', 'COVID-19']"
666649,Thời sự,Con trai nguyên Tổng Bí thư Lê Khả Phiêu xin lỗi bố vì không rải tro cốt,"Thay mặt gia đình phát biểu cảm ơn tại lễ truy điệu, con trai nguyên Tổng Bí thư Lê Khả Phiêu xin lỗi bố vì không thực hiện được di nguyện rải tro cốt xuống ba dòng sông.",15-08-2020,"['quốc tang', 'Lê Khả Phiêu']"
665944,Giáo dục,Những thủ khoa giành học bổng triệu đô của nước Mỹ,"Tupac Mosley, Kellin McGowan, Rawlin Tate Jr. là những học sinh xuất thân từ gia đình khó khăn nhưng đã vươn lên nghịch cảnh để giành học bổng vào đại học danh tiếng ở Mỹ.",13-08-2020,"['sinh viên', 'đại học Mỹ']"
666108,Giáo dục,Nữ sinh tỉnh lẻ và hành trình giành học bổng 15 ĐH Mỹ,"Nhận thấy hạn chế của học sinh tỉnh lẻ, Dương Bảo Tiên quyết thay đổi bằng cách tham gia và tổ chức các hoạt động trải nghiệm. Nữ sinh thể hiện tinh thần tiên phong và mong muốn đóng góp cho cộng đồng để tạo ấn tượng với các trường.",14-08-2020,"['du học sinh', 'du học', 'Tiếng Anh']"
666387,Giáo dục,Bước ngoặt bất ngờ của nữ sinh thủ khoa trường Kinh tế,"Đạt điểm trung bình học tập 3,92/4 (tức quy đổi 9,13/10), Trần Diệu Hương trở thành thủ khoa đầu ra của ngành Tài chính doanh nghiệp và cả Trường ĐH Kinh tế quốc dân năm 2020 trong đợt tốt nghiệp sớm.",15-08-2020,"['Trường ĐH Kinh tế Quốc dân', 'nữ sinh', 'thủ khoa']"
666662,Thời sự,Thanh tra Chính phủ kiến nghị kiểm điểm Chủ tịch tỉnh Ninh Thuận,"Thanh tra Chính phủ vừa kiến nghị Thủ tướng kiểm điểm trách nhiệm của Chủ tịch UBND Ninh Thuận và các Phó chủ tịch do để xảy ra nhiều sai phạm về quản lý đất đai, đầu tư xây dựng...",15-08-2020,"['lãnh đạo', 'Ninh Thuận', 'chống tham nhũng']"
662696,Giáo dục,Trường học có 2 nam sinh đỗ 6 lớp chuyên ở Hà Nội,,01-08-2020,"['tuyển sinh lớp 10', 'thi lớp 10']"
663795,Thế giới,Cuba hỗ trợ Việt Nam thuốc kích thích sinh kháng thể chống Covid-19,"Chiều nay (5/8) tại trụ sở Cục Đối ngoại, Bộ Quốc phòng đã diễn ra lễ bàn giao và tiếp nhận thuốc chống dịch Covid-19 do Cuba tài trợ cho Việt Nam.",05-08-2020,"['virus corona', 'Cuba', 'covid', 'COVID-19']"
665356,Thế giới,Đội tuyển quân đội đến Nga tranh tài hội thao quốc tế,Đoàn Việt Nam tham gia Hội thao Quân sự Quốc tế (Army Games) 2020 đã đến sân bay Sheremetyevo ở Moscow (Nga).,10-08-2020,"['quân đội', 'hội thao quân sự', 'Nga', 'Army games']"
656654,Thời sự,Dịch vụ đòi nợ thuê chỉ được hoạt động đến 1/1/2021,"Thứ trưởng KH-ĐT Vũ Đại Thắng cho biết, các DN đang kinh doanh dịch vụ đòi nợ chỉ được tiếp tục hoạt động từ nay tới ngày 1/1/2021.",10-07-2020,"['cải cách thủ tục', 'đòi nợ thuê', 'doanh nghiệp', 'Bộ KH-ĐT']"
659808,Sức khỏe,"Bốn dấu hiệu cho thấy bạn đang giảm cân, đốt mỡ đúng cách",Tình trạng béo phì đang có xu hướng gia tăng ở những người trẻ tuổi vì vậy nhu cầu giảm cân cũng phổ biến hơn. Nếu cơ thể có bốn dấu hiệu dưới đây chứng tỏ bạn đang trong quá trình đốt mỡ đúng cách.,22-07-2020,['giảm cân']
665586,Sức khỏe,Suýt tử vong vì đi thu nhỏ vùng kín,"Liên tiếp các ngày mùng 5 và 6/8, Bệnh viện Đa khoa Xanh Pôn tiếp nhận cấp cứu 2 nạn nhân bị biến chứng nghiêm trọng do phẫu thuật thẩm mỹ vùng kín tại cơ sở thẩm mỹ “chui”.",11-08-2020,['phẫu thuật thẩm mỹ']
663763,Thế giới,Một người Việt bị thương trong vụ nổ ở Beirut,"Theo Đại sứ quán Việt Nam tại Ai Cập kiêm nhiệm Lebanon, đến nay ghi nhận 1 công dân Việt Nam bị thương nhẹ và đã được đưa vào bệnh viện điều trị, tình trạng sức khỏe ổn định.",05-08-2020,"['Lebanon', 'vụ nổ']"
656018,Thế giới,Nga sẽ đưa tên lửa S-500 vào trang bị trong năm tới,"Tuyên bố trên được Thiếu tướng Sergei Babakov, Tư lệnh lực lượng tên lửa phòng không thuộc Lực lượng hàng không vũ trụ Nga đưa ra trong một cuộc phỏng vấn ngày 8/7.",08-07-2020,"['Nga', 'vũ khí', 'tên lửa', 'S-500', 'tên lửa phòng không']"
664167,Thế giới,Ngoại trưởng Mỹ: Coi trọng và cam kết duy trì quan hệ ổn định với Việt Nam,"Ông Pompeo khẳng định, Hoa Kỳ coi trọng và cam kết duy trì quan hệ ổn định, tăng cường hợp tác nhân đạo, khắc phục hậu quả chiến tranh cho Việt Nam.",06-08-2020,"['Việt-Mỹ', 'Ngoại trưởng Mỹ', 'quan hệ Việt - Mỹ']"
663792,Thế giới,Đối thoại ASEAN-Mỹ: Không gây phức tạp tình hình Biển Đông,"Thứ trưởng Bộ Ngoại giao Nguyễn Quốc Dũng nhắc lại lập trường nguyên tắc của ASEAN trong đảm bảo hòa bình, an ninh, ổn định, an toàn và tự do hàng hải, hàng không trên Biển Đông.",05-08-2020,"['Biển Đông', 'COVID-19', 'luật biển']"
662023,Thế giới,Hàng chục tàu chiến Nga tập trận ở Biển Đen,"Bộ Quốc phòng Nga hôm 29/7 cho biết, lực lượng hải quân và tàu chiến của nước này bắt đầu cuộc tập trận quy mô lớn ở Biển Đen.",30-07-2020,"['tập trận', 'diễn tập quân sự', 'Nga']"
656753,Giáo dục,Nam sinh nhặt rác trong mưa được Bộ Giáo dục tặng bằng khen,"Sáng nay, tại lễ bế giảng của Trường THCS Long An (Đồng Nai), đại diện Bộ GD-ĐT đã trao bằng khen cho Phạm Trọng Đạt - cậu bé dọn rác trước miệng cống thoát nước giữa trời mưa.",10-07-2020,['học sinh']
649957,Thời sự,Đề xuất thanh niên vi phạm hành chính cho đi lao động công ích,"Trong phiên thảo luận tại Quốc hội sáng nay (18/6), các đại biểu Quốc hội đề nghị nghiên cứu, xem xét và bổ sung hình thức phạt lao động công ích vào trong luật xử lý vi phạm hành chính.",18-06-2020,"['vi phạm hành chính', 'lao động công ích', 'Quốc hội', 'Lê Thành Long']"
650157,Thời sự,Quốc hội đồng ý bổ sung hơn 23.400 tỷ đồng đầu tư cao tốc Bắc - Nam,Quốc hội đồng ý cho Chính phủ chuyển ba dự án thành phần cao tốc Bắc - Nam sang đầu tư công và bổ sung 23.461 tỷ đồng bằng nguồn ngân sách nhà nước.,19-06-2020,['cao tốc Bắc - Nam']
665237,Sức khỏe,Bảo vệ trẻ khỏi mầm bệnh đúng cách,"Trẻ em vốn có sức đề kháng còn yếu cũng như chưa có ý thức trong việc giữ gìn vệ sinh cá nhân. Do đó, dù trẻ ở đâu, phụ huynh cũng cần bảo vệ bé tránh khỏi mầm bệnh, những nguy cơ tiềm ẩn xung quanh.",10-08-2020,"['COVID-19', 'nước súc miệng']"
660650,Thế giới,Xem xe tăng Nga lặn ngoạn mục như tàu ngầm,"Xe tăng chiến đấu chủ lực T-72 của Nga đã được nâng cấp nhiều lần trong những năm qua, với lần mới nhất giúp phương tiện này có thể lặn sâu như tàu ngầm.",25-07-2020,"['Nga', 'xe tăng Nga', 'tàu ngầm']"
664972,Sức khỏe,Bộ Y tế thông báo khẩn tìm người trên chuyến bay Nha Trang về Hà Nội,Bộ Y tế phát thông báo khẩn tìm hành khách từ Nha Trang ra Hà Nội ngày 30/7 do có liên quan đến bệnh nhân Covid-19.,09-08-2020,"['COVID-19', 'virus corona']"
640835,Sức khỏe,Công thức tính tần suất quan hệ phù hợp với từng nhóm tuổi,Các chuyên gia đưa ra cách tính số lần quan hệ tình dục một tuần với từng nhóm tuổi và việc quan hệ quá sức sẽ đến nhiều hệ lụy cho sức khỏe.,18-05-2020,['quan hệ tình dục']
657515,Thời sự,Thí sinh thi hoa hậu phải có tiêu chuẩn về đạo đức,"UB Văn hoá, Giáo dục, Thanh niên, Thiếu niên và Nhi đồng của Quốc hội cho rằng, cần quy định mang tính nguyên tắc về tiêu chuẩn đạo đức của người tham dự cuộc thi người đẹp, người mẫu.",14-07-2020,"['thi hoa hậu', 'Bộ trưởng Nguyễn Ngọc Thiện']"
660393,Giáo dục,Ông Trần Trọng Tuấn xin rút khỏi hội đồng Trường ĐH Luật TP.HCM,"Ông Trần Trọng Tuấn, Phó Chánh Văn phòng Thành ủy TP.HCM - người vừa bị Cơ quan Cảnh sát điều tra (Bộ Công an) khởi tố đã có đơn xin thôi tham gia Hội đồng Trường ĐH Luật TP.HCM nhiệm kỳ 2020-2025.",24-07-2020,"['Trần Trọng Tuấn', 'hội đồng trường']"
657361,Thế giới,Ngoạn mục cảnh phi công Nga thử mẫu 'tăng bay' Su-25 tối tân nhất,"Nga đang nâng cấp phi đội Sukhoi Su-25 của nước này để nâng cao hơn nữa ""sức sống"" của những chiến cơ này.",13-07-2020,"['chiến cơ Nga', 'quân sự', 'Su-25', 'Nga']"
649910,Thời sự,Bộ Nội vụ vào cuộc làm rõ thông tin Phó Chủ tịch Thái Bình thăng chức thiếu chuẩn,"Liên quan thông tin Phó Chủ tịch UBND tỉnh Thái Bình Nguyễn Khắc Thận thăng tiến ""thần tốc"", thiếu tiêu chuẩn, Bộ Nội vụ sẽ yêu cầu tỉnh báo cáo để làm rõ đúng sai.",18-06-2020,"['Bộ Nội vụ', 'bổ nhiệm thần tốc', 'Nguyễn Khắc Thận', 'nhân sự', 'lê vĩnh tân']"
658563,Thế giới,"Mỹ xác nhận thử ""siêu tên lửa"" nhanh gấp 17 lần âm thanh","Một quan chức quốc phòng Mỹ xác nhận, nước này đã thử nghiệm một siêu tên lửa bay nhanh gấp 17 lần âm thanh và từng được Tổng thống Donald Trump mô tả là ""siêu cấp"".",17-07-2020,"['Mỹ', 'tên lửa siêu thanh', 'vũ khí']"
658809,Thế giới,Trung Quốc tăng tốc đóng thêm tàu sân bay đối phó Mỹ,"Nhằm đối phó với sức mạnh hải quân Mỹ ở Thái Bình Dương, Trung Quốc đang đẩy nhanh quá trình hoàn thiện tàu sân bay tự chế thứ hai và đóng mới thêm một tàu sân bay nữa.",18-07-2020,"['Mỹ', 'Trung Quốc', 'tàu sân bay']"
660748,Thời sự,"Thủ tướng: Bình tĩnh, kiên quyết xử lý dịch Covid-19 trong tình hình mới","Thủ tướng yêu cầu các bộ ngành, địa phương, các tổ chức, cá nhân thực hiện nghiêm các biện pháp phòng chống dịch Covid-19 trong tình hình mới.",25-07-2020,"['virus corona', 'dịch Covid-19', 'COVID-19']"
649938,Thời sự,Cơ quan công quyền yếu kém hay sao mà phải cắt điện người vi phạm?,"Việc bổ sung hình thức xử phạt cắt điện, nước khi xử lý vi phạm hành chính gây nhiều tranh luận giữa các đại biểu Quốc hội trong phiên thảo luận tại hội trường sáng nay (18/6).",18-06-2020,"['cắt nước', 'Quốc hội', 'vi phạm hành chính', 'cắt điện']"
663584,Thế giới,Mỹ phản đối Trung Quốc tranh cử vào tòa quốc tế về luật biển,"Trung Quốc đã đề cử một ứng viên của nước này chạy đua giành vị trí thẩm phán tại một tòa án quốc tế chuyên giải quyết các tranh chấp hàng hải. Song, Mỹ đang tìm cách ngăn cản điều đó.",05-08-2020,"['Mỹ', 'Trung Quốc', 'Biển Đông']"
663641,Thế giới,"Nga sắp sản xuất vắc-xin hàng loạt, Triều Tiên báo động tối đa",Hệ thống phòng ngừa dịch bệnh tại Triều Tiên vừa được chuyển sang mức độ khẩn cấp tối đa với hàng loạt biện pháp mạnh được triển khai.,05-08-2020,"['Vaccine Covid-19', 'Nga', 'COVID-19', 'Triều Tiên', 'virus corona']"
664940,Sức khỏe,"29 ca mắc Covid-19 mới, Quảng Trị thêm 2 bệnh nhân","Chiều 9/8, Việt Nam ghi nhận thêm 29 ca mắc Covid-19 mới tại 3 tỉnh Quảng Trị, Quảng Nam, và Đà Nẵng.",09-08-2020,"['COVID-19', 'virus corona']"
653162,Thế giới,Vẻ đẹp rạng ngời của các nữ phi công chiến đấu Nga,Chùm ảnh dưới đây của Sputnik cho thấy các nữ phi công Nga tài giỏi như thế nào khi tham gia huấn luyện.,02-07-2020,"['phi công', 'huấn luyện', 'máy bay chiến đấu']"
658254,Thế giới,Sức mạnh tàu tấn công đổ bộ mới của hải quân Mỹ,Hải quân Mỹ vừa chính thức đưa vào biên chế hoạt động thêm một tàu đổ bộ mới nhưng không tổ chức lễ tiếp nhận long trọng như thông lệ.,16-07-2020,"['hải quân Mỹ', 'Mỹ', 'tàu chiến']"
653437,Giáo dục,Nghệ An cấm tổ chức dạy thêm trong thời gian nghỉ hè,"Sở GD-ĐT Nghệ An vừa có quy định nghiêm cấm dạy thêm, học thêm trong thời gian nghỉ hè. Tổ chức, cá nhân vi phạm sẽ bị xử lý nghiêm.",02-07-2020,"['dạy thêm', 'học thêm']"
656233,Thế giới,Thổ Nhĩ Kỳ dùng tiêm kích Mỹ làm 'mồi’ thử S-400,"Giới quân sự Thổ Nhĩ Kỳ được cho là đã tiến hành thử nghiệm thực địa hệ thống tên lửa phòng không nước này mua từ Nga, trong đó sử dụng các tiêm kích F-4 và F-16 làm mục tiêu.",08-07-2020,"['Nga', 'S-400', 'hệ thống phòng không', 'Thổ Nhĩ Kỳ', 'Mỹ', 'tên lửa']"
658465,Thế giới,Tên lửa Triều Tiên có thể vượt mặt nhiều hệ thống phòng không,"Đánh giá trên được Vụ Khảo cứu Quốc hội (CRS) Mỹ đưa ra, khi nhiều tên lửa Triều Tiên phát triển gần đây có khả năng vượt mặt các hệ thống phòng không tiên tiến.",17-07-2020,"['Nhật Bản', 'Mỹ', 'Triều Tiên', 'tên lửa']"
648907,Thời sự,Bí thư Nguyễn Thiện Nhân kiến nghị Việt Nam công bố hết dịch Covid-19,"Bí thư Nguyễn Thiện Nhân kiến nghị Việt Nam cần công bố hết dịch Covid-19 trong nước vì tỷ lệ người nhiễm ít, tỷ lệ người đang phải điều trị không cao, không có người chết.",15-06-2020,"['Nguyễn Thiện Nhân', 'COVID-19']"
656993,Thế giới,Giải mã 'quái vật' tàng hình B-2 Spirit của Mỹ,"Với khả năng tàng hình siêu việt và hệ thống vũ khí đầy uy lực, B-2 Spirit được mệnh danh là “quái vật” bầu trời không có đối thủ.",12-07-2020,"['quái vật bầu trời', 'bom hạt nhân', 'không quân Mỹ', 'máy bay ném bom B-2 Spirit', 'máy bay không đối thủ', 'máy bay ném bom tàng hình', 'vũ khí Mỹ']"
653229,Giáo dục,TP.HCM tuyển hơn 500 viên chức cho năm học mới,Sở GD-ĐT TP.HCM vừa công bố kế hoạch tuyển giáo viên công tác ở các đơn vị sự nghiệp công lập trực thuộc cho năm học mới 2020-2021.,02-07-2020,['giáo viên']
662991,Thế giới,CDC cảnh báo 20 ngày chết chóc vì Covid-19 ở Mỹ,Cảnh báo được đưa ra giữa lúc tình hình đại dịch Covid-19 ở Mỹ diễn biến vô cùng khó lường với mức độ lây truyền virus cao bất thường.,03-08-2020,"['Mỹ', 'virus corona', 'COVID-19']"
654024,Giáo dục,"Tăng thêm 54.600 học sinh, TP.HCM tuyển gấp hàng ngàn giáo viên mới","Năm học 2020-2021, TP.HCM tăng thêm hơn 54.000 học sinh. Ngành GD-ĐT TP.HCM cần tuyển gấp gần 7.000 giáo viên cho năm học mới.",04-07-2020,"['giáo viên', 'học sinh', 'Năm học mới 2020-2021']"
664865,Thế giới,Bác sĩ cảnh báo loại virus chết người tái xuất ở Trung Quốc,"Trong khi đại dịch Covid-19 vẫn đang hoành hành, các bác sĩ Trung Quốc lại cảnh báo người dân về sự tái xuất của một loại virus chết người khác lây truyền qua vết cắn của loài ve ký sinh trên động vật.",09-08-2020,"['Trung Quốc', 'COVID-19', 'bọ ve']"
645980,Thế giới,Israel thử nghiệm thành công tên lửa đạn đạo tầm ngắn,"Tập đoàn Hàng không Vũ trụ Israel (IAI) trong một thông cáo đưa ra hôm 2/6 cho biết, tập đoàn này đã phóng thử thành công hai tên lửa đạn đạo tầm ngắn.",03-06-2020,"['tên lửa', 'tên lửa đạn đạo', 'Israel', 'vũ khí', 'thử nghiệm vũ khí']"
648498,Giáo dục,Giáo viên đi luyện IELTS cũng giống như 'học gạo',"Bỏ thời gian đi luyện IELTS cấp tập cũng giống như việc “học gạo”, giáo viên không thể nào lên trình trong một khóa học ngắn hạn.",13-06-2020,"['IELTS', 'giáo viên']"
649658,Thế giới,Điểm lại những lần Trung - Ấn đụng độ biên giới,"Những năm qua, quân đội hai nước Trung Quốc và Ấn Độ đã trải qua nhiều lần đụng độ dọc biên giới.",17-06-2020,"['xung đột biên giới Trung Ấn', 'Trung Quốc', 'Ấn Độ']"
662811,Thế giới,Bác sĩ Mỹ báo động thói quen khiến Covid-19 càng lây lan,Giám đốc y khoa Trung tâm Y tế United Memorial ở Houston nói ông đang phải vật lộn đấu với hai cuộc chiến: Covid-19 và sự ngu dốt.,02-08-2020,"['virus corona', 'Mỹ', 'COVID-19']"
664643,Thế giới,"Đức, Pháp bỏ họp bàn về WHO vì phẫn nộ với Mỹ","Ba quan chức thạo tin tiết lộ, Pháp và Đức đã bỏ họp bàn cải cách Tổ chức Y tế thế giới (WHO) do phẫn nộ với việc Mỹ tìm cách dẫn đầu các cuộc đàm phán dù đã tuyên bố rút khỏi WHO.",08-08-2020,"['Pháp', 'Đức', 'WHO', 'Mỹ']"
664816,Thế giới,"Biểu tình dữ dội ở Lebanon, hàng trăm người bị thương","Ít nhất 238 người bị thương, trong đó 63 người nhập viện trong các cuộc ẩu đả giữa cảnh sát và dòng người biểu tình tại thủ đô Beirut, Lebanon những ngày qua.",09-08-2020,"['nổ ở Beirut', 'nổ ở Lebanon', 'Lebanon']"
664815,Thế giới,"Nhật chật vật chống Covid-19, Anh thu hồi hàng loạt bộ xét nghiệm","Dịch Covid-19 đến nay đã lây nhiễm cho hơn 19,7 triệu người khắp toàn cầu, trong đó 728.331 người tử vong.",09-08-2020,"['COVID-19', 'virus corona']"
662984,Thế giới,Tổng thống Philippines thú nhận hết tiền hỗ trợ dân chống Covid-19,"Tổng thống Philippines Rodrigo Duterte tiết lộ, chính phủ của ông hiện đã cạn kiệt các ngân quỹ dành để hỗ trợ cho người dân vượt qua cơn khủng hoảng vì dịch Covid-19.",03-08-2020,"['virus corona', 'Philippines', 'COVID-19']"
656876,Thế giới,Mỹ tuyên bố sẵn sàng đối thoại với Triều Tiên,"“Thứ trưởng Ngoại giao Stephen Biegun nhấn mạnh Mỹ luôn sẵn sàng tham gia đối thoại với Triều Tiên”, Yonhap dẫn thông cáo của Bộ Ngoại giao Mỹ ngay 10/7 cho biết.",11-07-2020,"['Mỹ', 'chương trình hạt nhân', 'Triều Tiên', 'hạt nhân']"
662136,Thế giới,Cảnh tượng lạ thường trong lễ hành hương lớn nhất thế giới thời Covid-19,"Lễ hành hương lớn nhất thế giới năm 2020 đã bắt đầu, và có một cảnh tượng khác hẳn mọi năm, dưới ảnh hưởng của đại dịch Covid-19.",31-07-2020,"['COVID-19', 'virus corona']"
662575,Thế giới,"Thế giới 680.000 người chết, WHO kêu gọi sống chung với Covid-19","Trong 24 giờ qua, thế giới ghi nhận thêm gần 270.000 người dương tính và khoảng 6.000 người tử vong vì Covid-19 trong bối cảnh đại dịch diễn biến phức tạp ở tất cả các châu lục.",01-08-2020,"['COVID-19', 'virus corona', 'corona thế giới']"
656921,Thế giới,Vũ Hán oằn mình chống lũ lụt,"Theo tờ Bưu điện Hoa nam Buổi sáng (SCMP), tỉnh Hồ Bắc, Trung Quốc đã trải qua ít nhất bảy đợt mưa lớn kể từ đầu tháng 6 tới nay.",11-07-2020,"['Trung Quốc', 'Thiên tai', 'lũ lụt', 'mưa bão', 'Vũ Hán']"
643610,Thế giới,Chân dung điệp viên mỹ nhân kế nổi tiếng trong lịch sử,"Sinh ra với cái tên Amy Elizabeth Thorpe ngày 22/11/1910 ở Minneapolis (Mỹ), gia đình và bạn bè thường gọi cô là Betty. Với mật danh Cynthia, cô nổi tiếng là một trong những điệp viên thành công nhất lịch sử.",25-05-2020,"['betty pack', 'tình báo Anh', 'nữ điệp viên', 'chiến tranh thế giới thứ hai']"
661402,Thế giới,Cố vấn an ninh của ông Trump nhiễm Covid-19,"Một quan chức Mỹ cho biết, Robert O'Brien, Cố vấn an ninh quốc gia cho Tổng thống Donald Trump đã bị nhiễm Covid-19.",27-07-2020,"['virus corona', 'Mỹ', 'COVID-19']"
644675,Thế giới,Những hình phạt khủng khiếp trên thế giới dành cho tội ấu dâm,"Thiến hóa học, tù chung thân, thậm chí tử hình... nằm trong số những hình phạt nghiêm khắc nhất mà nhiều nước trên thế giới đang áp dụng đối với tội phạm lạm dụng tình dục trẻ em.",29-05-2020,"['dâm ô', 'thiến hóa học', 'tử hình', 'Lạm dụng tình dục', 'ấu dâm', 'hình phạt']"
658569,Thế giới,Công ty TQ ép nhân viên ăn bim bim cay tới nhập viện,"Do không hoàn thành định mức công việc, một công ty ở thành phố Thành Đô, tỉnh Tứ Xuyên,",17-07-2020,"['văn hóa công ty', 'Trung Quốc']"
662385,Thế giới,"Trung Quốc có kỷ lục mới, Đệ nhất phu nhân Brazil nhiễm Covid-19","Ngày 30/7, Trung Quốc đại lục ghi nhận thêm 127 ca nhiễm mới Covid-19, mức tăng cao nhất kể từ ngày 5/3, trong đó có 112 ca lây nhiễm trong cộng đồng ở Tân Cương.",31-07-2020,"['Brazil', 'virus corona', 'Trung Quốc', 'COVID-19']"
662394,Thế giới,Làn sóng cuồng dùng thuốc sốt rét trị Covid-19 ở Brazil,"Ở Brazil, nhiều người tin thuốc sốt rét hydroxychloroquine giúp họ chống chọi tốt đại dịch Covid-19 dù nhiều nghiên cứu chứng minh tác dụng ngược lại.",01-08-2020,"['COVID-19', 'virus corona', 'Brazil', 'thuốc sốt rét']"
643762,Thế giới,Hé lộ trận đấu căng thẳng tái thiết lập hòa bình thế giới sau Thế chiến 2,"Nhờ những nỗ lực không mệt mỏi của Liên Xô, hội nghị Yalta đã đạt được những kết quả tích cực, góp phần củng cố sức mạnh và sự thống nhất của các nước Đồng minh.",27-05-2020,"['thế chiến hai', 'Anh', 'chiến tranh', 'Liên Xô', 'Mỹ', 'Đức']"
658341,Thế giới,Cây xương rồng khổng lồ đứng vững trước mọi thiên tai,"Cây xương rồng khổng lồ trải qua bão, lũ lụt và một trận động đất năm 2011, hiện vẫn phát triển mạnh, leo cao quá một chung cư ở Nhật.",19-07-2020,"['Nhật', 'cây khổng lồ']"
661638,Thế giới,Triều Tiên cảnh báo thảm hoạ Covid-19,"Mối đe dọa mới vừa xuất hiện ở Triều Tiên, với ca nghi nghiễm Covid-19 được công khai đầu tiên bên trong biên giới nước này.",28-07-2020,"['virus corona', 'Triều Tiên', 'Kim Jong Un', 'COVID-19']"
